"id","code","name"
classification_4773,"4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
classification_4774,"4774","Comercio al por menor de otros productos nuevos en establecimientos especializados"
classification_4775,"4775","Comercio al por menor de artículos de segunda mano"
classification_4781,"4781","Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles"
classification_4782,"4782","Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles"
classification_4789,"4789","Comercio al por menor de otros productos en puestos de venta móviles"
classification_4791,"4791","Comercio al por menor realizado a través de Internet"
classification_4792,"4792","Comercio al por menor realizado a través de casas de venta o por correo"
classification_4799,"4799","Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados."
classification_4911,"4911","Transporte férreo de pasajeros"
classification_4912,"4912","Transporte férreo de carga"
classification_4921,"4921","Transporte de pasajeros"
classification_4922,"4922","Transporte mixto"
classification_4923,"4923","Transporte de carga por carretera"
classification_4930,"4930","Transporte por tuberías"
classification_5011,"5011","Transporte de pasajeros marítimo y de cabotaje"
classification_5012,"5012","Transporte de carga marítimo y de cabotaje"
classification_5021,"5021","Transporte fluvial de pasajeros"
classification_5022,"5022","Transporte fluvial de carga"
classification_5111,"5111","Transporte aéreo nacional de pasajeros"
classification_5112,"5112","Transporte aéreo internacional de pasajeros"
classification_5121,"5121","Transporte aéreo nacional de carga"
classification_5122,"5122","Transporte aéreo internacional de carga"
classification_5210,"5210","Almacenamiento y depósito"
classification_5221,"5221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre"
classification_5222,"5222","Actividades de puertos y servicios complementarios para el transporte acuático"
classification_5223,"5223","Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo"
classification_5224,"5224","Manipulación de carga"
classification_5229,"5229","Otras actividades complementarias al transporte"
classification_5310,"5310","Actividades postales nacionales"
classification_5320,"5320","Actividades de mensajería"
classification_5511,"5511","Alojamiento en hoteles"
classification_5512,"5512","Alojamiento en apartahoteles"
classification_5513,"5513","Alojamiento en centros vacacionales"
classification_5514,"5514","Alojamiento rural"
classification_5519,"5519","Otros tipos de alojamientos para visitantes"
